Health System,Hospital,State,URL,Site,Contact Info,Notes,Contacted
,BEVERLY HOSPITAL ADDISON GILBERT CAMPUS,MA,,,,,
,VIBRA HOSPITAL OF WESTERN MASS CENTRAL CAMPUS,MA,,,,,
,WORCESTER RECOVERY CENTER AND HOSPITAL,MA,,,,,
,HOULTON REGIONAL HOSPITAL,ME,,,,,
,NORTHERN LIGHT INLAND HOSPITAL,ME,,,,,
,MAINEGENERAL MEDICAL CENTER,ME,,,,,
,MAINEGENERAL MEDICAL CENTER-SETON,ME,,,,,
,SAINT ANDREWS HOSPITAL AND HEALTHCARE CENTER,ME,,,,,
,MIDMICHIGAN MEDICAL CENTER-GLADWIN,MI,,,,,
,HELEN NEWBERRY JOY HOSPITAL,MI,,,,,
,MUNISING MEMORIAL HOSPITAL,MI,,,,,
,BOURNEWOOD HOSPITAL,MA,,,,,
,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,MI,,,,,
,HILLSDALE COMMUNITY HEALTH CENTER,MI,,,,,
,DMC SURGERY HOSPITAL,MI,,,,,
,LAKELAND COMMUNITY HOSPITAL,WATERVLIET,,,,,
,MCLAREN CENTRAL MICHIGAN,MI,,,,,
,SPECTRUM HEALTH LUDINGTON HOSPITAL,MI,,,,,
,BRONSON LAKEVIEW HOSPITAL,MI,,,,,
,DECKERVILLE COMMUNITY HOSPITAL,MI,,,,,
,HENRY FORD HOSPITAL,MI,,,,,
,MAYO CLINIC HEALTH SYS ALBT LE,MN,,,,,
,MAYO CLINIC HEALTH SYS CF,MN,,,,,
,MAYO CLINIC HEALTH SYS FAIRMNT,FAIRMONT,,,,,
,MAYO CLINIC HEALTH SYSTEM S F,MN,,,,,
,HARRY S. TRUMAN MEMORIAL VETERANS HOSPITAL,MO,,,,,
,VIBRA HOSPITAL OF CENTRAL DAKOTAS,ND,,,,,
,JACOBSON MEMORIAL HOSPITAL & CARE CENTER,ND,,,,,
,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,IN,,,,,
,MEMORIAL HOSPITAL OF SOUTH BEND,IN,,,,,
,COMPLEX CARE HOSPITAL AT TENAYA,NV,,,,,
,DESERT SPRINGS HOSPITAL MEDICAL CENTER,NV,,,,,
,EASTERN REGIONAL MEDICAL CENTER,PA,,,,,
,THOMAS JEFFERSON UNIVERSITY HOSPITAL,PA,,,,,
,PENN PRESBYTERIAN MEDICAL CENTER,PA,,,,,
,ST JOSEPHS HOSPITAL,PA,,,,,
,VA MEDICAL CENTER - PHILADELPHIA,PA,,,,,
,GEISINGER MEDICAL CENTER,PA,,,,,
,NORTHSIDE HOSPITAL - CHEROKEE,GA,,,,,
,SOUTHWELL MEDICAL,ADEL,,,,,
,NORTHERN MONTANA HOSPITAL,MT,,,,,
,MUSC MEDICAL CENTER,SC,,,,,
,VERITAS COLLABORATIVE GEORGIA,GA,,,,,
,PAGE MEMORIAL HOSPITAL,VA,,,,,
,UH PORTAGE - ROBINSON MEMORIAL HOSPITAL,OH,,,,,
,DELL CHILDREN'S MEDICAL CENTER,TX,,,,,
,COOK CHILDREN'S MEDICAL CENTER,TX,,,,,
,ARBOR HEALTH MORTON GENERAL HOSPITAL,WA,,,,,
,INDIANA SPINE HOSPITAL,CARMEL,,,,,
,ASCENSION SE WISCONSIN HOSPITAL - ELMBROOK CAMPUS,WI,,,,,
,ASCENSION SE WISCONSIN HOSPITAL - FRANKLIN CAMPUS,WI,,,,,
,ASCENSION SE WISCONSIN HOSPITAL ST JOSEPH,WI,,,,,
,ASCENSION ST CLARES HOSPITAL,WI,,,,,
,ASCENSION ST FRANCIS HOSPITAL,WI,,,,,
,ASCENSION ST MARYS HOSPITAL,WI,,,,,
,MIAMI VALLEY HOSPITAL,OH,,,,,
,ASCENSION ST MICHAELS HOSPITAL,WI,,,,,
,ASPIRUS RIVERVIEW HSPTL ASSOC,WI,,,,,
,ASPIRUS WAUSAU HOSPITAL,WI,,,,,
,AURORA LAKELAND MED CTR,WI,,,,,
,AURORA MED CENTER-WASHINGTON COUNTY,WI,,,,,
,AURORA MED CTR KENOSHA,WI,,,,,
,AURORA MED CTR MANITOWOC CTY,WI,,,,,
,MHP MEDICAL CENTER,IN,,,,,
,COVENANT CHILDREN'S HOSPITAL,TX,,,,,
,PARKVIEW WABASH HOSPITAL,IN,,,,,
,NEURO BEHAVIORAL HOSPITAL,IN,,,,,
,PERRY COUNTY MEMORIAL HOSPITAL,IN,,,,,
,ST JOSEPH HEALTH CENTER,OH,,,,,
,TRUMBULL MEMORIAL HOSPITAL,OH,,,,,
,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,OR,,,,,
,RIVERSIDE MEDICAL CENTER,IL,,,,,
,BLUE MOUNTAIN HOSPITAL,OR,,,,,
,VASSAR BROTHERS MEDICAL CENTER,NY,,,,,
,ERIE COUNTY MEDICAL CENTER,NY,,,,,
,STRONG MEMORIAL HOSPITAL,NY,,,,,
,NORTH SHORE UNIVERSITY HOSPITAL,NY,,,,,
,EDWIN SHAW REHABILITATION INSTITUTE,OH,,,,,
,NASSAU UNIVERSITY MEDICAL CENTER,NY,,,,,
,SOUTH NASSAU COMMUNITIES HOSPITAL,NY,,,,,
,UNIVERSITY HOSPITAL SUNY HEALTH SCIENCE CENTER,NY,,,,,
,ST. LUKE'S CORNWALL HOSPITAL - NEWBURGH CAMPUS,NY,,,,,
,PARKLAND MEDICAL CENTER,NH,,,,,
,ORANGE REGIONAL MEDICAL CENTER,NY,,,,,
,SAMARITAN HOSPITAL,NY,,,,,
,CANTON-POTSDAM HOSPITAL,NY,,,,,
,PEACEHEALTH PEACE ISLAND MEDICAL CENTER,WA,,,,,
,MONTEFLORE NYACK HOSPITAL,NY,,,,,
,SARATOGA HOSPITAL,NY,,,,,
,NORTHSHORE UNIVERSITY HEALTHSYSTEM DBA HIGHLAND PARK HOSPITAL,IL,,,,,
,ADVOCATE CONDELL MEDICAL CENTER,IL,,,,,
,ADVOCATE GOOD SHEPHERD HOSPITAL,IL,,,,,
,GALESBURG COTTAGE HOSPITAL,IL,,,,,
,ST MARY MEDICAL CENTER,IL,,,,,
,MIDWESTERN REGION MED CENTER,IL,,,,,
,KENNEDY KREIGER INSTITUTE,MD,,,,,
,MERCY MEDICAL CENTER,MD,,,,,
,SINAI HOSPITAL OF BALTIMORE,MD,,,,,
,UNIVERSITY OF MARYLAND MEDICAL CENTER,MD,,,,,
,ST. JAMES HOSPITAL,NY,,,,,
,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,MD,,,,,
,VALLEY REGIONAL HOSPITAL,NH,,,,,
,HAMPSTEAD HOSPITAL,NH,,,,,
,FRISBIE MEMORIAL HOSPITAL,NH,,,,,
,CROTCHED MOUNTAIN REHABILITATION CENTER,NH,,,,,
,SOUTHERN NEW HAMPSHIRE MEDICAL CENTER,NH,,,,,
,ST JOSEPH HOSPITAL,NH,,,,,
,ELLIOT HOSPITAL CITY OF MANCHESTER,NH,,,,,
,CONCORD HOSPITAL,NH,,,,,
,FRANKLIN REGIONAL HOSPITAL,NH,,,,,
,UNIVERSITY HOSPITAL STONEY BROOK SOUTHAMPTON HOSPITAL,NY,,,,,
,EASTERN LONG ISLAND HOSPITAL,NY,,,,,
,HUNTINGTON HOSPITAL,NY,,,,,
,SOUTHSIDE HOSPITAL,NY,,,,,
,SAINT JOSEPH HOSPITAL,KY,,,,,
,SHRINERS HOSPITAL FOR CHILDREN,KY,,,,,
,GOOD SAMARITAN HOSPITAL - WEST ISLIP,NY,,,,,
,HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS,NY,,,,,
,ELLENVILLE REGIONAL HOSPITAL,NY,,,,,
,NEWARK-WAYNE COMMUNITY HOSPITAL,NY,,,,,
,ST. JOHN'S RIVERSIDE HOSPITAL - DOBBS FERRY,NY,,,,,
,PHELPS MEMORIAL HOSPITAL CENTER,NY,,,,,
,TWIN LAKES REGIONAL MEDICAL CENTER,KY,,,,,
,OUR LADY OF BELLEFONTE HOSPITAL,KY,,,,,
,BLYTHEDALE CHILDREN'S HOSPITAL,NY,,,,,
,PASSAVANT AREA HOSPITAL,IL,,,,,
,BROOK LANE HEALTH SERVICES,MD,,,,,
,GARRARD COUNTY HOSPITAL,KY,,,,,
,WESTCHESTER MEDICAL CENTER,NY,,,,,
,MONTEFIORE MEDICAL CENTER - MOSES DIVISION,NY,,,,,
,FRANKFORT REGIONAL MEDICAL CENTER,KY,,,,,
,NORTH CENTRAL BRONX HOSPITAL,NY,,,,,
,MERITUS MEDICAL CENTER,MD,,,,,
,BROOKDALE HOSPITAL MEDICAL CENTER,NY,,,,,
,BROOKLYN HOSPITAL CENTER,NY,,,,,
,MONTEFIORE WESTCHESTER SQUARE MEDICAL CENTER,NY,,,,,
,KINGS COUNTY HOSPITAL CENTER,NY,,,,,
,CONEY ISLAND HOSPITAL,NY,,,,,
,NYU LUTHERAN MEDICAL CENTER,NY,,,,,
,JACOBI MEDICAL CENTER,NY,,,,,
,NEW YORK METHODIST HOSPITAL,NY,,,,,
,NYU HOSPITAL FOR JOINT DISEASES,NY,,,,,
,NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN'S HOSPITAL,NY,,,,,
,THE ADDICTION INSTITUTE OF NEW YORK,NY,,,,,
,ELMHURST HOSPITAL CENTER,NY,,,,,
,JAMAICA HOSPITAL MEDICAL CENTER,NY,,,,,
,HOOPESTON COMMUNITY MEMORIAL HOSPITAL,IL,,,,,
,OSF HEALTHCARESYSTEM DBA SACRED HEART MEDICAL CENTER,IL,,,,,
,THE MEDICAL CENTER AT BOWLING GREEN,KY,,,,,
,NEW YORK PRESBYTERIAN QUEENS,NY,,,,,
,ROCK REGIONAL HOSPITAL,DERBY,,,,,
,GLEN COVE HOSPITAL,NY,,,,,
,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,KY,,,,,
,LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES,KY,,,,,
,MONTEFIORE NEW ROCHELLE HOSPITAL,NY,,,,,
,MOUNT SINAI BETH ISRAEL BROOKLYN,NY,,,,,
,NEW YORK PRESBYTERIAN HOSPITAL - WESTCHESTER DIVISION,NY,,,,,
,HARLEM HOSPITAL CENTER,NY,,,,,
,HENRY J. CARTER SPECIALTY HOSPITAL,NY,,,,,
,SAINT BARNABAS HOSPITAL HEALTH SYSTEM,NY,,,,,
,IRA DAVENPORT MEMORIAL HOSPITAL INC,NY,,,,,
,ST. MARY'S HEALTHCARE - AMSTERDAM MEMORIAL CAMPUS,NY,,,,,
,THE BURDETT CARE CENTER,NY,,,,,
,MORRIS HOSPITAL & HEALTHCARE CENTERS,IL,,,,,
,SWEDISH AMERICAN HOSPITAL,IL,,,,,
,JAVON BEA HOSPITAL DBA MERCY HEALTH HOSPITAL ROCKTON AVE,IL,,,,,
,THE UNIVERSITY OF VERMONT HEALTH NETWORK - CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,NY,,,,,
,MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,NY,,,,,
,HOLY CROSS HOSPITAL,MD,,,,,
,SILVER CROSS HOSPITAL AND MEDICAL CENTERS,IL,,,,,
,ADVENTIST BOLINGBROOK HOSPITAL,IL,,,,,
,FORT WASHINGTON HOSPITAL,MD,,,,,
,MOUNT SINAI ST. LUKE'S,NY,,,,,
,NEW YORK PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,NY,,,,,
,NEW YORK PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,NY,,,,,
,NYULMC - COBBLE HILL,NY,,,,,
,URMC STRONG WEST,NY,,,,,
,WOMEN AND CHILDREN'S HOSPITAL OF BUFFALO,NY,,,,,
,NYU WINTHROP-UNIVERSITY HOSPITAL,NY,,,,,
,UPMC CHAUTAUQUA AT WCA,NY,,,,,
,SJRH - PARK CARE PAVILION,NY,,,,,
,VA MEDICAL CENTER - CANANDAIGUA,NY,,,,,
,FOUR WINDS HOSPITAL WESTCHESTER,NY,,,,,
,FOUR WINDS HOSPITAL SARATOGA,NY,,,,,
,METHODIST HOSPITAL,KY,,,,,
,CROSSROADS COMMUNITY HOSPITAL,IL,,,,,
,COPLEY MEMORIAL HOSPITAL INC DBA RUSH COPLEY MEDICAL CENTER,IL,,,,,
,DELNOR COMMUNITY HOSPITAL,IL,,,,,
,PRESENCE CENTRAL AND SUBURBAN HOSPITALS NETWORK DBA PRESENCE MERCY MEDICAL CENTER,IL,,,,,
,BLUEGRASS COMMUNITY HOSPITAL,KY,,,,,
,JAMES J. PETERS VA MEDICAL CENTER,NY,,,,,
,HEART OF TEXAS MEMORIAL HOSPITAL,TX,,,,,
,JACKSON COUNTY HOSPITAL,TX,,,,,
,SCHLEICHER COUNTY MEDICAL CENTER,TX,,,,,
,TAYLOR REGIONAL HOSPITAL,KY,,,,,
,COCHRAN MEMORIAL HOSPITAL,TX,,,,,
,WESTERN MARYLAND REGIONAL MEDICAL CENTER,MD,,,,,
,ANNE ARUNDEL MEDICAL CENTER,MD,,,,,
,KIRBY MEDICAL CENTER,IL,,,,,
,SAINT FRANCIS MEDICAL CENTER,IL,,,,,
,BLESSING CARE CORPORATION ILLINI COMMUNITY HOSPITAL,IL,,,,,
,MUSCOGEE (CREEK) NATION PHYSICAL REHABILITATION CENTER,OK,,,,,
,BLESSING HOSPITAL,IL,,,,,
,VALIR REHABILITATION HOSPITAL OF OKC,OK,,,,,
,METHODIST MEDICAL CENTER OF ILLINOIS,IL,,,,,
,REHABILITATION INSTITUTE OF CHICAGO,IL,,,,,
,RIVEREDGE HOSPITAL,IL,,,,,
,NORTHSHORE UNIVERSITY HEALTH SYSTEM SKOKIE HOSPITAL,IL,,,,,
,RUSH OAK PARK HOSPITAL,IL,,,,,
,ADVENTIST MIDWEST HEALTH DBA ADVENTIST LA GRANGE MEMORIAL HOSPITAL,IL,,,,,
,GOTTLEB MEMORIAL HOSPITAL LOYOLA HEALTH SYSTEM AT GOTTLIEB,IL,,,,,
,CHRISTUS MOTHER FRANCES HOSPITAL - WINNSBORO,TX,,,,,
