Health System,Hospital,URL
,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,
,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,
,KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,
,KAISER PERMANENTE PANORAMA CITY,
,PROVIDENCE TARZANA MEDICAL CENTER,
,SHRINERS HOSPITAL FOR CHILDREN - L.A.,
,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,
,ADVENTIST HEALTH CLEARLAKE,
,VALLEY CHILDREN'S HOSPITAL,
,EISENHOWER MEDICAL CENTER,
,GOOD SAMARITAN HOSPITAL-SAN JOSE,
,KAISER FND HOSP - SANTA CLARA,
,LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,
,KAISER FND HOSP - REDWOOD CITY,
,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,
,SUTTER DELTA MEDICAL CENTER,
,KAISER FND HOSP - SACRAMENTO,
,SIERRA NEVADA MEMORIAL HOSPITAL,
,LA PALMA INTERCOMMUNITY HOSPITAL,
,SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,
,FREMONT MEDICAL CENTER,
,PIEDMONT MOUNTAINSIDE HOSPITAL,
,ST MARYS HEALTH CARE SYSTEM,
,RIDGEVIEW INSTITUTE,
,WESTERLY HOSPITAL,
,ST MARYS HOSPITAL MADISON,
,AURORA PSYCHIATRIC HSPTL,
,COLUMBIA CENTER,
,THEDACARE MEDICAL CENTER BERLIN,
,MERCY HOSPITAL ROGERS,
,ST CROIX REG MED CTR,
,WESTFIELDS HOSPITAL,
,ST NICHOLAS HOSPITAL,
,VERNON MEM HSPTL,
,PIH HOSPITAL - DOWNEY,
,PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,
,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,
,ASCENSION NE WISCONSIN MERCY CAMPUS,
,MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER,
,ADVENT HEALTH DADE CITY,
,DELRAY MEDICAL CENTER,
,POINCIANA MEDICAL CENTER,
,ARBOUR FULLER HOSPITAL,
,ARBOUR HUMAN RESOURCE INSTITUTE,
,ASSENCION ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,
,NATCHAUG HOSPITAL,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL AT MARTIN HEALTH,
,SHRINERS' HOSPITAL FOR CHILDREN,
,SPAULDING REHABILITATION HOSPITAL,
,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,
,BAY RIDGE HOSPITAL BEVERLY,
,ENCOMPASS HEALTH HOSPITAL OF WESTERN MASS,
,T J HEALTH COLUMBIA,
,DECATUR COUNTY HOSPITAL,
,ANDERSON COUNTY HOSPITAL,
,KEARNY COUNTY HOSPITAL,
,OTTAWA COUNTY HEALTH CENTER,
,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,
,VIBRA HOSPITAL OF SOUTHWESTERN MASSACHUSETTS,
,NORWOOD HOSPITAL,
,SPAULDING REHABILITATION HOSPITAL CAPE COD,
,CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,
,SHRINERS' HOSPITAL FOR CHILDREN,
,MERCY HOSPITAL FORT SMITH,
,HEALTHSOUTH REHABILITATION HOSPITAL OF FORT SMITH,
,WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS,
,WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,
,RIVER VALLEY MEDICAL CENTER,
,BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,
,MERCY HOSPITAL BERRYVILLE,
,EUREKA SPRINGS HOSPITAL,
,SOUTHEAST REHABILITATION HOSPITAL,
,BRADLEY COUNTY MEDICAL CENTER,
,FIVE RIVER MEDICAL CENTER,
,DALLAS COUNTY MEDICAL CENTER,
,CRITTENDEN HOSPITAL ASSOCIATION,
,OUACHITA CO. MEDICAL CENTER,
,NORTH ARKANSAS REGIONAL MEDICAL CENTER,
,STONE COUNTY MEDICAL CENTER,
,PIGGOTT COMMUNITY HOSPITAL,
,BAPTIST HEALTH - HEBER SPRINGS,
,ST. VINCENT MORRILTON,
,UAMS MEDICAL CENTER,
,BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,
,UNITED METHODIST BEHAVIORAL HEALTH SYSTEMS,
,LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL,
,HOT SPRINGS REHABILITATION CENTER,
,CHI ST VINCENT HOSPITAL HOT SPRINGS,
,BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,
,ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,
,JEFFERSON REGIONAL MEDICAL CENTER,
,HEALTHSOUTH REHABILITATION HOSPITAL,
,MEMORIAL HEALTH UNIV MED CEN,
,VANTAGE POINT OF NORTHWEST ARKANSAS,
,NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,
,ASCENSION NE WISCONSIN ST. ELIZABETH HOSPITAL,
,MENA REGIONAL HEALTH SYSTEM,
,MERCY HOSPITAL BOONEVILLE,
,MERCY HOSPITAL PARIS,
,CROSSRIDGE COMMUNITY HOSPITAL,
,BAPTIST HEALTH REHABILITATION INSTITUTE,
,ASCENSION SACRED HEART REHAB INST,
,SANTA CRUZ VALLEY HOSPITAL,
,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,
,CASEY COUNTY HOSPITAL,
,MARCUM AND WALLACE MEMORIAL HOSPITAL,
,HIGHLANDS REGIONAL MEDICAL CENTER,
,NORTON WOMEN'S AND KOSAIR CHILDREN'S HOSPITAL,
,SAINTS MARY & ELIZABETH HOSPITAL,
,THE BROOK - DUPONT,
,BAPTIST HEALTH LA GRANGE,
,ADCARE HOSPITAL OF WORCESTER INC,
,EDITH NOURSE ROGERS MEMORIAL VETERANS HOSPITAL,
,AMESBURY HEALTH CENTER,
,BETH ISRAEL DEACONESS MEDICAL CENTER - WEST CAMPUS,
,ARBOUR HOSPITAL,
,BEVERLY HOSPITAL ADDISON GILBERT CAMPUS,
,VIBRA HOSPITAL OF WESTERN MASS CENTRAL CAMPUS,
,WORCESTER RECOVERY CENTER AND HOSPITAL,
,HOULTON REGIONAL HOSPITAL,
,NORTHERN LIGHT INLAND HOSPITAL,
,MAINEGENERAL MEDICAL CENTER,
,MAINEGENERAL MEDICAL CENTER-SETON,
,SAINT ANDREWS HOSPITAL AND HEALTHCARE CENTER,
,MIDMICHIGAN MEDICAL CENTER-GLADWIN,
,HELEN NEWBERRY JOY HOSPITAL,
,MUNISING MEMORIAL HOSPITAL,
,BOURNEWOOD HOSPITAL,
,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,
,HILLSDALE COMMUNITY HEALTH CENTER,
,DMC SURGERY HOSPITAL,
,LAKELAND COMMUNITY HOSPITAL,
,MCLAREN CENTRAL MICHIGAN,
,SPECTRUM HEALTH LUDINGTON HOSPITAL,
,BRONSON LAKEVIEW HOSPITAL,
,DECKERVILLE COMMUNITY HOSPITAL,
,HENRY FORD HOSPITAL,
,MAYO CLINIC HEALTH SYS ALBT LE,
,MAYO CLINIC HEALTH SYS CF,
,MAYO CLINIC HEALTH SYS FAIRMNT,
,MAYO CLINIC HEALTH SYSTEM S F,
,HARRY S. TRUMAN MEMORIAL VETERANS HOSPITAL,
,VIBRA HOSPITAL OF CENTRAL DAKOTAS,
,JACOBSON MEMORIAL HOSPITAL & CARE CENTER,
,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,
,MEMORIAL HOSPITAL OF SOUTH BEND,
,COMPLEX CARE HOSPITAL AT TENAYA,
,DESERT SPRINGS HOSPITAL MEDICAL CENTER,
,EASTERN REGIONAL MEDICAL CENTER,
,THOMAS JEFFERSON UNIVERSITY HOSPITAL,
,PENN PRESBYTERIAN MEDICAL CENTER,
,ST JOSEPHS HOSPITAL,
,VA MEDICAL CENTER - PHILADELPHIA,
,GEISINGER MEDICAL CENTER,
,NORTHSIDE HOSPITAL - CHEROKEE,
,SOUTHWELL MEDICAL,
,NORTHERN MONTANA HOSPITAL,
,MUSC MEDICAL CENTER,
,VERITAS COLLABORATIVE GEORGIA,
,PAGE MEMORIAL HOSPITAL,
,UH PORTAGE - ROBINSON MEMORIAL HOSPITAL,
,DELL CHILDREN'S MEDICAL CENTER,
,COOK CHILDREN'S MEDICAL CENTER,
,ARBOR HEALTH MORTON GENERAL HOSPITAL,
,INDIANA SPINE HOSPITAL,
,ASCENSION SE WISCONSIN HOSPITAL - ELMBROOK CAMPUS,
,ASCENSION SE WISCONSIN HOSPITAL - FRANKLIN CAMPUS,
,ASCENSION SE WISCONSIN HOSPITAL ST JOSEPH,
,ASCENSION ST CLARES HOSPITAL,
,ASCENSION ST FRANCIS HOSPITAL,
,ASCENSION ST MARYS HOSPITAL,
,MIAMI VALLEY HOSPITAL,
,ASCENSION ST MICHAELS HOSPITAL,
,ASPIRUS RIVERVIEW HSPTL ASSOC,
,ASPIRUS WAUSAU HOSPITAL,
,AURORA LAKELAND MED CTR,
,AURORA MED CENTER-WASHINGTON COUNTY,
,AURORA MED CTR KENOSHA,
,AURORA MED CTR MANITOWOC CTY,
,MHP MEDICAL CENTER,
,COVENANT CHILDREN'S HOSPITAL,
,PARKVIEW WABASH HOSPITAL,
,NEURO BEHAVIORAL HOSPITAL,
,PERRY COUNTY MEMORIAL HOSPITAL,
,ST JOSEPH HEALTH CENTER,
,TRUMBULL MEMORIAL HOSPITAL,
,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,
,RIVERSIDE MEDICAL CENTER,
,BLUE MOUNTAIN HOSPITAL,
,VASSAR BROTHERS MEDICAL CENTER,
,ERIE COUNTY MEDICAL CENTER,
,STRONG MEMORIAL HOSPITAL,
,NORTH SHORE UNIVERSITY HOSPITAL,
,EDWIN SHAW REHABILITATION INSTITUTE,
,NASSAU UNIVERSITY MEDICAL CENTER,
,SOUTH NASSAU COMMUNITIES HOSPITAL,
,UNIVERSITY HOSPITAL SUNY HEALTH SCIENCE CENTER,
,ST. LUKE'S CORNWALL HOSPITAL - NEWBURGH CAMPUS,
,PARKLAND MEDICAL CENTER,
,ORANGE REGIONAL MEDICAL CENTER,
,SAMARITAN HOSPITAL,
,CANTON-POTSDAM HOSPITAL,
,PEACEHEALTH PEACE ISLAND MEDICAL CENTER,
,MONTEFLORE NYACK HOSPITAL,
,SARATOGA HOSPITAL,
,NORTHSHORE UNIVERSITY HEALTHSYSTEM DBA HIGHLAND PARK HOSPITAL,
,ADVOCATE CONDELL MEDICAL CENTER,
,ADVOCATE GOOD SHEPHERD HOSPITAL,
,GALESBURG COTTAGE HOSPITAL,
,ST MARY MEDICAL CENTER,
,MIDWESTERN REGION MED CENTER,
,KENNEDY KREIGER INSTITUTE,
,MERCY MEDICAL CENTER,
,SINAI HOSPITAL OF BALTIMORE,
,UNIVERSITY OF MARYLAND MEDICAL CENTER,
,ST. JAMES HOSPITAL,
,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,
,VALLEY REGIONAL HOSPITAL,
,HAMPSTEAD HOSPITAL,
,FRISBIE MEMORIAL HOSPITAL,
,CROTCHED MOUNTAIN REHABILITATION CENTER,
,SOUTHERN NEW HAMPSHIRE MEDICAL CENTER,
,ST JOSEPH HOSPITAL,
,ELLIOT HOSPITAL CITY OF MANCHESTER,
,CONCORD HOSPITAL,
,FRANKLIN REGIONAL HOSPITAL,
,UNIVERSITY HOSPITAL STONEY BROOK SOUTHAMPTON HOSPITAL,
,EASTERN LONG ISLAND HOSPITAL,
,HUNTINGTON HOSPITAL,
,SOUTHSIDE HOSPITAL,
,SAINT JOSEPH HOSPITAL,
,SHRINERS HOSPITAL FOR CHILDREN,
,GOOD SAMARITAN HOSPITAL - WEST ISLIP,
,HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS,
,ELLENVILLE REGIONAL HOSPITAL,
,NEWARK-WAYNE COMMUNITY HOSPITAL,
,ST. JOHN'S RIVERSIDE HOSPITAL - DOBBS FERRY,
,PHELPS MEMORIAL HOSPITAL CENTER,
,TWIN LAKES REGIONAL MEDICAL CENTER,
,OUR LADY OF BELLEFONTE HOSPITAL,
,BLYTHEDALE CHILDREN'S HOSPITAL,
,PASSAVANT AREA HOSPITAL,
,BROOK LANE HEALTH SERVICES,
,GARRARD COUNTY HOSPITAL,
,WESTCHESTER MEDICAL CENTER,
,MONTEFIORE MEDICAL CENTER - MOSES DIVISION,
,FRANKFORT REGIONAL MEDICAL CENTER,
,NORTH CENTRAL BRONX HOSPITAL,
,MERITUS MEDICAL CENTER,
,BROOKDALE HOSPITAL MEDICAL CENTER,
,BROOKLYN HOSPITAL CENTER,
,MONTEFIORE WESTCHESTER SQUARE MEDICAL CENTER,
,KINGS COUNTY HOSPITAL CENTER,
,CONEY ISLAND HOSPITAL,
,NYU LUTHERAN MEDICAL CENTER,
,JACOBI MEDICAL CENTER,
,NEW YORK METHODIST HOSPITAL,
,NYU HOSPITAL FOR JOINT DISEASES,
,NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN'S HOSPITAL,
,THE ADDICTION INSTITUTE OF NEW YORK,
,ELMHURST HOSPITAL CENTER,
,JAMAICA HOSPITAL MEDICAL CENTER,
,HOOPESTON COMMUNITY MEMORIAL HOSPITAL,
,OSF HEALTHCARESYSTEM DBA SACRED HEART MEDICAL CENTER,
,THE MEDICAL CENTER AT BOWLING GREEN,
,NEW YORK PRESBYTERIAN QUEENS,
,ROCK REGIONAL HOSPITAL,
,GLEN COVE HOSPITAL,
,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,
,LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES,
,MONTEFIORE NEW ROCHELLE HOSPITAL,
,MOUNT SINAI BETH ISRAEL BROOKLYN,
,NEW YORK PRESBYTERIAN HOSPITAL - WESTCHESTER DIVISION,
,HARLEM HOSPITAL CENTER,
,HENRY J. CARTER SPECIALTY HOSPITAL,
,SAINT BARNABAS HOSPITAL HEALTH SYSTEM,
,IRA DAVENPORT MEMORIAL HOSPITAL INC,
,ST. MARY'S HEALTHCARE - AMSTERDAM MEMORIAL CAMPUS,
,THE BURDETT CARE CENTER,
,MORRIS HOSPITAL & HEALTHCARE CENTERS,
,SWEDISH AMERICAN HOSPITAL,
,JAVON BEA HOSPITAL DBA MERCY HEALTH HOSPITAL ROCKTON AVE,
,THE UNIVERSITY OF VERMONT HEALTH NETWORK - CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,
,MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,
,HOLY CROSS HOSPITAL,
,SILVER CROSS HOSPITAL AND MEDICAL CENTERS,
,ADVENTIST BOLINGBROOK HOSPITAL,
,FORT WASHINGTON HOSPITAL,
,MOUNT SINAI ST. LUKE'S,
,NEW YORK PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,
,NEW YORK PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,
,NYULMC - COBBLE HILL,
,URMC STRONG WEST,
,WOMEN AND CHILDREN'S HOSPITAL OF BUFFALO,
,NYU WINTHROP-UNIVERSITY HOSPITAL,
,UPMC CHAUTAUQUA AT WCA,
,SJRH - PARK CARE PAVILION,
,VA MEDICAL CENTER - CANANDAIGUA,
,FOUR WINDS HOSPITAL WESTCHESTER,
,FOUR WINDS HOSPITAL SARATOGA,
,METHODIST HOSPITAL,
,CROSSROADS COMMUNITY HOSPITAL,
,COPLEY MEMORIAL HOSPITAL INC DBA RUSH COPLEY MEDICAL CENTER,
,DELNOR COMMUNITY HOSPITAL,
,PRESENCE CENTRAL AND SUBURBAN HOSPITALS NETWORK DBA PRESENCE MERCY MEDICAL CENTER,
,BLUEGRASS COMMUNITY HOSPITAL,
,JAMES J. PETERS VA MEDICAL CENTER,
,HEART OF TEXAS MEMORIAL HOSPITAL,
,JACKSON COUNTY HOSPITAL,
,SCHLEICHER COUNTY MEDICAL CENTER,
,TAYLOR REGIONAL HOSPITAL,
,COCHRAN MEMORIAL HOSPITAL,
,WESTERN MARYLAND REGIONAL MEDICAL CENTER,
,ANNE ARUNDEL MEDICAL CENTER,
,KIRBY MEDICAL CENTER,
,SAINT FRANCIS MEDICAL CENTER,
,BLESSING CARE CORPORATION ILLINI COMMUNITY HOSPITAL,
,MUSCOGEE (CREEK) NATION PHYSICAL REHABILITATION CENTER,
,BLESSING HOSPITAL,
,VALIR REHABILITATION HOSPITAL OF OKC,
,METHODIST MEDICAL CENTER OF ILLINOIS,
,REHABILITATION INSTITUTE OF CHICAGO,
,RIVEREDGE HOSPITAL,
,NORTHSHORE UNIVERSITY HEALTH SYSTEM SKOKIE HOSPITAL,
,RUSH OAK PARK HOSPITAL,
,ADVENTIST MIDWEST HEALTH DBA ADVENTIST LA GRANGE MEMORIAL HOSPITAL,
,GOTTLEB MEMORIAL HOSPITAL LOYOLA HEALTH SYSTEM AT GOTTLIEB,
,CHRISTUS MOTHER FRANCES HOSPITAL - WINNSBORO,
,YOAKUM COMMUNITY HOSPITAL,
,LORETTO HOSPITAL,
,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,
,GOLDEN PLAINS COMMUNITY HOSPITAL,
,THOREK MEMORIAL HOSPITAL,
,JOHN H STROGER JR HOSPITAL,
,MERCY HOSPITAL AND MEDICAL CENTER,
,LITTLE COMPANY OF MARY HOSPITAL,
,ADVOCATE NORTHSIDE HEALTH NETWORK DBA ILLINOIS MASONIC MEDICAL CENTER,
,METHODIST HOSPITAL OF CHICAGO,
,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,
,LUTHERAN GENERAL HOSPITAL ADVOCATE,
,NORTHWEST COMMUNITY HOSPITAL,
,ALEXIAN BROTHERS MEDICAL CENTER,
,NORTHWESTERN MEMORIAL HOSPITAL,
,ST ALEXIUS MEDICAL CENTER,
,PROVIDENT HOSPITAL OF COOK COUNTY,
,RUSSELL COUNTY HOSPITAL,
,RALEIGH GENERAL HOSPITAL,
,ROCKCASTLE REGIONAL HOSPITAL & RESPIRATORY CARE CENTER,
,UNION HOSPITAL OF CECIL COUNTY,
,BAPTIST HEALTH LOUISVILLE,
,JEWISH HOSPITAL & ST. MARY'S HEALTHCARE,
,KINDRED HOSPITAL - LOUISVILLE,
,OUR LADY OF PEACE,
,UNIVERSITY OF LOUISVILLE HOSPITAL,
,PAUL B HALL REGIONAL MEDICAL CENTER,
,JEFFERSON MEDICAL CENTER,
,PLATEAU MEDICAL CENTER,
,MINNIE HAMILTON HEALTH CARE CENTER,
,ST MARY'S MEDICAL CENTER,
,PRINCETON COMMUNITY HOSPITAL,
,PLEASANT VALLEY HOSPITAL,
,BOONE MEMORIAL HOSPITAL,
,POCAHONTAS MEMORIAL HOSPITAL,
,PRESTON MEMORIAL HOSPITAL,
,WILLIAM R SHARPE JR HOSPITAL,
,UNIVERSITY OF KANSAS HOSPITAL TRANSPLANT CENTER,
,ST JOSEPH HOSPITAL,
,BERKELEY MEDICAL CENTER,
,WEST VIRGINIA UNIVERSITY HOSPITALS,
,REYNOLDS MEMORIAL HOSPITAL,
,ST ANTHONYS MEMORIAL HOSPITAL,
,MEADOWVIEW REGIONAL MEDICAL CENTER,
,ST. ELIZABETH FLORENCE,
,PINEVILLE COMMUNITY HOSPITAL,
,GENESIS HEALTH SYSTEM DBA GENESIS MEDICAL CENTER - SILVIS,
,TRINITY MEDICAL CENTER(WEST) DBA TRINITY ROCK ISLAND,
,MEMORIAL MEDICAL CENTER,
,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,
,THE CARLE FOUNDATION HOSPITAL,
,SPOONER HOSPITAL SYS,
,SPRING VIEW HOSPITAL,
,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,
,HUTCHINGS PSYCHIATRIC CENTER,
,CALDWELL MEDICAL CENTER,
,T J SAMSON COMMUNITY HOSPITAL,
,ROLLING HILLS HOSPITAL,
,FAIRVIEW REGIONAL MEDICAL CENTER,
,LATIMER COUNTY GENERAL HOSPITAL,
,MASON DISTRICT HOSPITAL,
,WESTERN STATE HOSPITAL,
,PIKEVILLE MEDICAL CENTER,
,OU MEDICAL CENTER -THE CHILDREN'S HOSPITAL,
,HANS P PETERSON MEMORIAL HOSPITAL,
,MCALESTER REGIONAL HEALTH CENTER,
,OKLAHOMA SPINE HOSPITAL,
,ST JOSEPH MEDICAL CENTER,
,HAZARD ARH REGIONAL MEDICAL CENTER,
,TUG VALLEY ARH REGIONAL MEDICAL CENTER,
,DECATUR MEMORIAL HOSPITAL,
,NORTHWESTERN MEDICINE MCHENRY WOODSTOCK HUNTLEY HOSPITAL,
,ADVOCATE HEALTH AND HOSPITALS CORPORATION DBA ADVOCATE BROMENN HEALTHCARE,
,MEMORIAL HOSPITAL,
,CHESHIRE MEDICAL CENTER,
,LITTLETON REGIONAL HEALTHCARE,
,ALICE PECK DAY MEMORIAL HOSPITAL,
,INTEGRIS GROVE HOSPITAL,
,LAKES REGION GENERAL HOSPITAL,
,ACH BEHAVIORAL HEALTH AND WELLNESS SERVICES,
,INTEGRIS BASS BAPTIST HEALTH CENTER,
,JACKSON COUNTY MEMORIAL HOSPITAL,
,HASKELL COUNTY COMMUNITY HOSPITAL,
,ADVENTIST MIDWEST HEALTH DBA ADVENTIST HINSDALE HOSPITAL,
,ELMHURST MEMORIAL HOSPITAL,
,CENTRAL DUPAGE HOSPITAL,
,ADVENTIST GLENOAKS,
,ALLIANCEHEALTH WOODWARD,
,SUN BEHAVIORAL HEALTH,
,SOUTHWESTERN MEDICAL CENTER,
,JIM TALIAFERRO COMMUNITY MENTAL HEALTH CENTER,
,DRUMRIGHT REGIONAL HOSPITAL,
,STILLWATER MEDICAL CENTER,
,CHOCTAW MEMORIAL HOSPITAL,
,NORMAN SPECIALTY HOSPITAL,
,ALLIANCEHEALTH SEMINOLE,
,HILLCREST HOSPITAL SOUTH,
,HILLCREST MEDICAL CENTER,
,MERCY HOSPITAL ARDMORE,
,MERCY HOSPITAL HEALDTON,
,AURORA MED CTR OSHKOSH,
,AURORA MEDICAL CENTER,
,LAUREATE PSYCHIATRIC CLINIC AND HOSPITAL,
,HILLCREST HOSPITAL CLAREMORE,
,GREAT PLAINS REGIONAL MEDICAL CENTER,
,WAGONER COMMUNITY HOSPITAL,
,AURORA MEDICAL CENTER BAY AREA,
,MUSCOGEE (CREEK) NATION MEDICAL CENTER,
,AURORA MEDICAL CENTER SUMMIT,
,AURORA SHEBOYGAN MEM MED CTR,
,SAINT FRANCIS HOSPITAL SOUTH,
,DUNCAN REGIONAL HOSPITAL,
,MERCY HOSPITAL ADA,
,FREDERICK MEDICAL CLINIC,
,STARR REGIONAL MEDICAL CENTER ETOWAH,
,ANDROSCOGGIN VALLEY HOSPITAL,
,WEEKS MEDICAL CENTER,
,ST FRANCIS HOSPITAL,
,OSF HOLY FAMILY MEDICAL CENTER,
,MORRISON COMMUNITY HOSPITAL,
,SARAH D CULBERTSON MEMORIAL HOSPITAL,
,ABRAHAM LINCOLN MEMORIAL HOSPITAL,
,MASSAC MEMORIAL HOSPITAL,
,PARIS COMMUNITY HOSPITAL,
,CENTRAL PENINSULA GENERAL HOSPITAL,
,ATLANTA VA HEALTH MEDICAL CENTER,
,PIEDMONT ATHENS REGIONAL MED CENTER,
,BECKLEY ARH HOSPITAL,
,OWENSBORO HEALTH,
,FAIRBANKS MEMORIAL HOSPITAL,
,MAT-SU REGIONAL MEDICAL CENTER,
,PROVIDENCE VALDEZ MEDICAL CENTER,
